,Datetime,headline,description,article,link,responses
25,2025-06-26 23:39:00,This is the Best June Performance for Nvidia Since 2021. Is It Too Late to Buy NVDA Stock for July?,"NVDA stock is still the AI chip leader to own, but the shares look short-term overbought at current prices.","Semiconductor giant Nvidia (NVDA) has solidified its position as the world's most valuable company, achieving a market capitalization of $3.77 trillion - and surpassing its “Magnificent 7” counterparts Microsoft (MSFT) and Apple (AAPL) in the process. In fact, NVDA stock reached a new record high of $156.71 earlier today, representing a remarkable recovery of over 80% from its April 2025 year-to-date lows..In the month of June alone, NVDA has gained a staggering 15.16% - easily outstripping its average return of 1.31% for the month since 2010. This is currently Nvidia’s best monthly performance for the month of June since 2021 - though it should be noted that this kind of double-digit return is roughly on par for the artificial intelligence (AI) chip leader over the last half-decade or so..Tesla’s Robotaxis Reportedly Sped and Veered Into the Wrong Lanes. Does This Crush the Bull Case for TSLA Stock?.1 Dividend Stock to Buy Yielding Over 7%.Ditch Big Tech and Buy These 3 Popular Stocks in 2025 Instead.Our exclusive Barchart Brief newsletter is your FREE midday guide to what's moving stocks, sectors, and investor sentiment - delivered right when you need the info most. Subscribe today!.Looking ahead, Nvidia isn’t expected to report quarterly earnings until late August, and the stock has averaged a positive return of 3.03% in July dating back to 2010. However, last year’s 5.28% July selloff was a notable divergence from historical averages - and like most multinational market momentum leaders, NVDA is influenced by a number of significant factors beyond seasonal trends..A bullish note from Loop Capital this week set a new Street-high $250 price target, underscoring growing confidence in NVIDIA's AI dominance and suggesting potential growth to a $6 trillion valuation. So, should investors buy into Nvidia’s strength - or wait for a pullback in the outperforming stock?.The chip company's Q1 2025 performance was exceptional, with revenue surging 69% year-over-year to $44.1 billion, including $35.6 billion from data centers. Nvidia's technological leadership remains unchallenged, with nearly 100 Nvidia-powered AI factories now in progress, double the number from the previous year..The company maintains an aggressive innovation pipeline, planning annual chip architecture releases including Blackwell Ultra (2025), Vera Rubin (2026), and Vera Rubin Ultra (2027). Their GPU technology continues to be the backbone of most AI products, supported by their proprietary CUDA software platform, which creates strong vendor lock-in.",https://finance.yahoo.com/news/best-june-performance-nvidia-since-153952134.html,"```json
{
  ""Strategic Risk"": 0,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": -1,
  ""Technology Risk"": 0,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 0,
  ""ESG Risk"": 0
}
```"
26,2025-06-26 23:31:00,Will Microsoft's AI Services Help Maintain Its Cloud Growth Momentum?,MSFT rides on a surge in AI-driven Azure adoption as custom agents and new MU model push cloud growth even higher.,"Microsoft MSFT has been expanding its Azure platform and AI services to support the growing demand for intelligent tools and automation. The company continues to integrate AI into its offerings. These offerings are built on Azure infrastructure and help organizations create and deploy their own AI agents. In the third quarter of fiscal 2025, over 10,000 organizations had used Agent Service, and more than 1 million custom agents were created across Microsoft platforms, up 130% quarter over quarter. Microsoft also processed more than 100 trillion tokens in the quarter, up 5 times year over year..Recently, Microsoft introduced the MU language model, which now powers the new AI agent in Windows 11 Settings. The agent allows users to interact with system settings using natural language. The technology, which is powered by Azure AI, shows how Microsoft is using its AI services to power real-world features across its ecosystem..The launch of the MU model and its integration into Windows is expected to increase usage of Azure’s AI tools and services. As more users and organizations adopt these agent-based features, Azure cloud consumption is likely to rise. This supports Microsoft’s ongoing focus on bringing AI into mainstream productivity and enterprise workflows..In the third quarter of fiscal 2025, Microsoft’s Intelligent Cloud segment generated $26.8 billion in revenues, up 21% year over year. It accounted for 37.9% of MSFT’s total revenues. Azure and other cloud services grew 33%, with AI services contributing 16 percentage points to that growth. Our model estimate for the Intelligent Cloud segment’s revenues in fiscal 2025 is pegged at $105.3 billion, indicating 20.4% growth year over year..Microsoft is facing tough competition from Amazon AMZN and Alphabet GOOGL, ramping up agentic AI efforts.Amazon’s AWS is making it easier to build agentic AI with tools like Agents for Bedrock, AWS App Studio and Amazon Q that help developers create AI agents that work across apps and data. With built-in support for orchestration and reasoning, Amazon’s AWS is becoming a strong platform for next-gen AI tools..Alphabet’s Google Cloud is pushing into agentic AI with tools like Agent Builder. With built-in orchestration and support for Gemini models, Alphabet is making agent development faster and more accessible for real-world use..MSFT shares have gained 17.7% in the year-to-date (YTD) period, outperforming the Zacks Computer – Software industry and the Zacks Computer and Technology sector’s growth of 13.5% and 4.5%, respectively.",https://finance.yahoo.com/news/microsofts-ai-services-help-maintain-153100201.html,"```json
{
  ""Strategic Risk"": 9,
  ""Operational Risk"": 0,
  ""Financial Risk"": 8,
  ""Market Risk"": 9,
  ""Technology Risk"": 9,
  ""Credit Risk"": 7,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 8,
  ""ESG Risk"": 0
}
```"
27,2025-06-27 00:18:00,There Are Currently Better Options Than Microsoft,The reason other Mag-7 stocks are more attractive at the moment.,"Microsoft Corporation (NASDAQ: MSFT) is one of the most well-known companies, belonging to the mag-7 and being the biggest company in the world according to market capitalization. While MSFT is definitely a great company, this article will show why it currently is not a buy for me, mainly because there are better deals in other mag-7 companies at lower valuations and better fundamentals..Warning! GuruFocus has detected 6 Warning Sign with MSFT..From a fundamental perspective, Microsoft is a strong company, with a gross profit margin of 69.7% and an EBITDA margin of 55.25%, far above the industry medians of 50.78% and 10.48%, respectively. Furthermore, the ROE is great at 33.61%, while the industry median is only at 4.96%..The same can also be said for growth. While MSFT is not as far ahead of other companies as it was in terms of profitability, a revenue growth rate of 14.13% and an EBITDA growth rate of 19.16% are still great. Furthermore, forward growth rates are even stronger than current ones, suggesting a positive outlook. Only ROE growth is a weak point in this sector, with both current and forward ROE growth expected to be negative..As with all Mag-7 companies, valuation is the biggest problem for Microsoft. Everyone already knows that we are talking about a great company, so the most important thing to get right is to find a good entrance price. Currently, the EV/EBITDA ratio of the stock is relatively high at 22.8, a 31% premium to the industry median. Moreover, the P/S and P/B ratios are even more elevated at 12.51 and 10.49, suggesting a 311% and 214% premium, respectively. The P/E ratio at 35.11 is also very high at the moment. Figure 1 shows the historical P/E ratio of MSFT as can be seen, the company currently trades at 2020 and 2023 levels, leaving it at a higher bound of its average valuation..When comparing Microsoft's user base to that of other Mag-7 companies, like Alphabet (NASDAQ: GOOG) and Meta (NASDAQ: META), one can instantly see that the company's valuation is elevated. At around 1.5 billion users and a market cap of 3.35T, the company has a valuation of $2.233 per user. At the same time, GOOG and META only have valuations of $820 and $494 per user, respectively, making them much cheaper in comparison. Additionally, ROE is a weak point too, with only Tesla Inc. (NASDAQ: TSLA) and Amazon (NASDAQ: AMZN) being worse at 8.79% and 25.24%, respectively..From a growth perspective, Microsoft is solid but does not particularly stand out at slightly better revenue growth but significantly less EBITDA growth than Alphabet. Furthermore, the negative ROE growth is the second worst in the peer group, with only Tesla's ROE falling by almost 70%. In total, Microsoft seems fundamentally somewhere around the average, with profitability being a strength while growth is a comparative weakness.",https://finance.yahoo.com/news/currently-better-options-microsoft-093720326.html,"{
  ""Strategic Risk"": -1,
  ""Operational Risk"": 0,
  ""Financial Risk"": -2,
  ""Market Risk"": -5,
  ""Technology Risk"": 0,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": -1,
  ""ESG Risk"": 0
}"
28,2025-06-27 00:06:00,The Trade Desk stock falls after Wells Fargo downgrade on Amazon threat,Investing.com -- The Trade Desk (NASDAQ:TTD) stock fell 3.7% after Wells Fargo downgraded the advertising technology company due to increasing competitive pressure from Amazon (NASDAQ:AMZN)’s demand-side platform (DSP).,"Investing.com -- The Trade Desk (NASDAQ:TTD) stock fell 3.7% after Wells Fargo downgraded the advertising technology company due to increasing competitive pressure from Amazon (NASDAQ:AMZN)’s demand-side platform (DSP)..Wells Fargo analyst Alec Brondolo lowered his rating on The Trade Desk from Overweight to Equal Weight and reduced his price target to $68.00 from $74.00, citing Amazon’s recent partnerships with major streaming platforms..The downgrade follows Amazon’s deals with  Roku  (NASDAQ:ROKU) and  Disney  (NYSE:DIS) announced in mid-June, which Brondolo indicated are ""catalyzing advertiser plans to test Amazon DSP on non-Amazon inventory in 2026."" These partnerships with two of the largest connected TV (CTV) publishers are eroding what was previously viewed as The Trade Desk’s advantage in CTV inventory availability..A recent survey conducted by Wells Fargo revealed that among The Trade Desk customers, 50% indicated Amazon DSP was already taking ""modest share"" of non-Amazon CTV budgets, while 30% reported ""significant share"" shifts to Amazon’s platform..Despite the competitive concerns, Wells Fargo believes The Trade Desk can still meet 2025 consensus estimates due to healthy programmatic industry spending and potential benefits from advertisers moving away from Microsoft (NASDAQ:MSFT)’s Xandr DSP, which is scheduled to shut down in March 2026. The analyst reduced revenue estimates for 2026 and 2027 by 2% and 5% respectively..Related articles.The Trade Desk stock falls after Wells Fargo downgrade on Amazon threat.Raymond James lifts FactSet rating on cheaper valuation, signs of revenue rebound.EU mulls lowering tariffs on U.S. imports to reach trade deal - WSJ",https://finance.yahoo.com/news/trade-desk-stock-falls-wells-150652649.html,"```json
{
    ""Strategic Risk"": 0,
    ""Operational Risk"": 0,
    ""Financial Risk"": 0,
    ""Market Risk"": 0,
    ""Technology Risk"": 0,
    ""Credit Risk"": 0,
    ""Legal Risk"": 0,
    ""Political Risk"": 0,
    ""Reputational Risk"": 0,
    ""ESG Risk"": 0
}
```"
29,2025-06-26 22:58:00,"Forget $200, 1 Analyst Now Sees Nvidia Stock Rising to $250","While several analysts see Nvidia stock zooming past $200 over the next year, Loop Capital has assigned a Street-high target price of $250 on NVDA.","Nvidia (NVDA) stock rose to its record high, surging past the $150 price level yesterday, June 25. It has been a remarkable turnaround for the chip designing giant as the stock briefly plunged below $100 in April amid the tariff chaos, which was made worse by export restrictions on the H20 chips that it had designed for China..Nvidia is now back to being the world’s most valuable company, a position it has held off and on. Thanks to the recent rally, the Jensen Huang-led company has raced ahead of Microsoft (MSFT), while Apple (AAPL) is further down the road with its market cap just over $3 trillion as of June 25..Tesla’s Robotaxis Reportedly Sped and Veered Into the Wrong Lanes. Does This Crush the Bull Case for TSLA Stock?.1 Dividend Stock to Buy Yielding Over 7%.QuantumScape Just Announced a Major Cobra Milestone. How Should You Play QS Stock Here?.Get exclusive insights with the FREE Barchart Brief newsletter. Subscribe now for quick, incisive midday market analysis you won't find anywhere else..As I noted in my Nvidia fiscal Q1 2026 earnings analysis, record highs appeared in sight for the company after a stellar report where it managed to beat on both the top line and bottom line and provided upbeat guidance despite losing out on sales worth several billion dollars in China due to the export controls. In this article, we’ll discuss what lies ahead for the company after hitting record highs and whether it can rise above $200 next..The overall Street sentiment is quite bullish on NVDA, and of the 44 analysts covering the stock, 37 rate it as a “Strong Buy” while three rate it as a “Moderate Buy.” Three analysts rate the stock as a “Hold,” while one rates it as a “Strong Sell.” Nvidia’s mean target price is $174.83, while the most recent Street-high target price (via Loop Capital) is $250..Meanwhile, after Nvidia stock has hit record highs, investors might fancy the chances of it hitting the $200 price level, even as $250 might seem a bit far-fetched for now. Notably, apart from Loop, Tigress Financial, Barclays, Truist, Rosenblatt Securities, and Cantor Fitzgerald have put a target price of $200 or higher on Nvidia..Nvidia would need to rise over 29% for the stock to hit $200, sending its market cap to almost $5 trillion. Another 25% rally will help Nvidia’s stock reach its Street-high target price of $250, at which point its market cap should be north of $6 trillion. No company has ever commanded a market cap above $4 trillion.",https://finance.yahoo.com/news/forget-200-1-analyst-now-145853615.html,"```json
{
  ""Strategic Risk"": -1,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": 0,
  ""Technology Risk"": 0,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 0,
  ""ESG Risk"": 0
}
```"
30,2025-06-26 22:39:00,Microsoft (MSFT) Reassessing $13 Billion OpenAI Partnership Amid AI Power Shifts,"Microsoft Corp. (NASDAQ:MSFT) is one of the top 10 picks from Harvard University’s stock portfolio. The Harvard Management Co.’s portfolio composition shows that the managers substantially increased their position in Microsoft in Q1. Around 366,700 shares were added in Q1 2025, which increased the position by approximately 8x, giving it a 14% weight. According to a […]","Microsoft Corp. (NASDAQ:MSFT) is one of the top 10 picks from Harvard University’s stock portfolio. The Harvard Management Co.’s portfolio composition shows that the managers substantially increased their position in Microsoft in Q1. Around 366,700 shares were added in Q1 2025, which increased the position by approximately 8x, giving it a 14% weight..According to a June 19 report from the Financial Times, Microsoft and OpenAI are in the middle of complex negotiations to rework the terms of their long-standing partnership. A key point in the discussions is OpenAI’s proposal to convert from a non-profit model into a fully for-profit entity—a move that would require Microsoft’s consent and could shift the balance of control and economics in the relationship..The discussions have become increasingly difficult, with Microsoft reportedly open to walking away if no agreement is reached. At issue is the size of Microsoft’s stake in a restructured OpenAI, given its more than $13 billion investment to date. If no new terms are agreed upon, Microsoft could continue operating under its current agreement, which guarantees access to OpenAI’s models and a 20% share of related revenues through 2030..Other terms are also under review. Microsoft currently holds exclusive rights to distribute OpenAI’s products through Azure and also has rights to early access to the company’s infrastructure and models. With growing competition in the AI space, Microsoft is seeking to maintain these advantages, while OpenAI is under pressure to finalize its restructuring plan to meet investor conditions from its recent funding rounds..Despite issuing a joint statement underscoring a positive working relationship, sources close to the matter suggest Microsoft is not in a hurry to revise a deal that already works in its favor. Meanwhile, OpenAI is working against a year-end deadline to secure approvals and retain investor commitments, including from SoftBank..Microsoft recently made xAI’s Grok available to its Azure customers. This kind of moves not only broaden its AI portfolio, but also suggest that the company is positioning itself to rely less heavily on OpenAI if necessary. The outcome of these talks may have wider implications for how major tech players approach access to foundational AI models going forward..Microsoft Corp. (NASDAQ:MSFT) develops and markets software, hardware, and cloud services. Its flagship products include the Windows operating system, the Microsoft Office suite, and the Azure cloud platform. Additionally, Microsoft owns LinkedIn, GitHub, and Xbox, extending its influence across various industries.",https://finance.yahoo.com/news/microsoft-msft-reassessing-13-billion-143915719.html,"```json
{
  ""Strategic Risk"": -8,
  ""Operational Risk"": 0,
  ""Financial Risk"": 7,
  ""Market Risk"": 0,
  ""Technology Risk"": -8,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": -4,
  ""ESG Risk"": 0
}
```"
31,2025-06-26 23:09:00,MSFT vs. PEGA: Which Agentic AI Vendor is a Better Buy in 2H25?,PEGA's specialized agentic AI focus offers superior upside versus MSFT's broader platform. Buy PEGA for concentrated AI exposure; hold/wait on MSFT for better entry.,"The artificial intelligence (AI) revolution has entered a new phase with the emergence of agentic AI — systems capable of autonomous decision-making and task execution rather than merely assisting human users. Two prominent players in this space, Microsoft MSFT and Pegasystems PEGA, are taking distinctly different approaches to capitalize on this transformative technology. Microsoft leverages its massive cloud infrastructure and enterprise software ecosystem to integrate agentic capabilities across its portfolio, while Pegasystems focuses on specialized workflow automation and legacy system modernization powered by AI agents.Both companies recently announced significant expansions of their agentic AI offerings, with Microsoft evolving Copilot into autonomous digital workers and Pega enhancing its Blueprint platform to automatically transform legacy systems into modern applications. The timing of these announcements, coupled with strong financial performance from both companies, makes for a compelling comparison as investors seek exposure to the next wave of AI innovation.Let's delve deep and closely compare the fundamentals of the two stocks to determine which one is a better investment now..Microsoft's approach to agentic AI represents a comprehensive platform strategy that spans its entire technology stack. The company's third-quarter fiscal 2025 results demonstrated continued momentum, with total revenues reaching $70.1 billion, up 13% year over year. Microsoft Cloud revenues of $42.4 billion grew 22% in constant currency, with Azure showing particularly strong performance at 33% growth, including 16 percentage points from AI services alone.The company's agentic AI strategy centers on transforming Copilot from a simple assistant into autonomous digital workers capable of reasoning, planning, and acting independently. Microsoft processed more than 100 trillion tokens during the quarter, representing a five-fold increase year over year, indicating massive adoption of its AI services. The company has introduced specialized agents like Sales Agent and Customer Service Agent while enabling customers to build custom agents through Copilot Studio, with more than 230,000 organizations already using the platform.Microsoft's scale advantages are evident in its infrastructure investments, with capital expenditures of $21.4 billion in the quarter supporting long-term monetization. The company's diverse revenue streams provide stability, though this same diversification may limit the upside potential from any single technology trend. Azure's strong performance demonstrates Microsoft's ability to capture enterprise AI workloads, but the company's massive size means incremental growth from agentic AI represents a smaller percentage impact on overall results.The Zacks Consensus Estimate for Microsoft’s fiscal 2025 earnings is pegged at $13.36 per share, indicating a 13.22% year-over-year increase.",https://finance.yahoo.com/news/msft-vs-pega-agentic-ai-140900578.html,"```json
{
  ""Strategic Risk"": -2,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": -1,
  ""Technology Risk"": -1,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": -1,
  ""ESG Risk"": 0
}
```"
32,2025-06-26 21:55:00,The Magnificent 7 Is Splitting. Why Microsoft and Meta Are Top of the Heap.,"Both companies have bigger year-to-date gains than Nvidia, though the chipmaker has a larger market capitalization.","Both companies have bigger year-to-date gains than Nvidia, though the chipmaker has a larger market capitalization.",https://finance.yahoo.com/m/1f044f96-0ec2-399e-9187-3853de06bce6/the-magnificent-7-is.html,"```json
{
  ""Strategic Risk"": 3,
  ""Operational Risk"": 0,
  ""Financial Risk"": 2,
  ""Market Risk"": 4,
  ""Technology Risk"": 1,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 3,
  ""ESG Risk"": 0
}
```"
33,2025-06-26 21:49:00,Microsoft Gets $600 Price Target Boost From Wedbush on AI Surge,"Wedbush Hikes Microsoft Target to $600, Calls AI Microsoft's 'Shining Moment'","June 26 - Microsoft (NASDAQ:MSFT) received a bullish endorsement from Wedbush on Thursday, with analyst Daniel Ives lifting the tech giant's price target to $600 from $515, citing accelerating adoption of artificial intelligence products like Copilot and Azure..The new target implies a nearly 22% upside from current levels. Ives reaffirmed his Buy rating and described Microsoft's ongoing AI expansion as a shining moment for the company, according to a Thursday note..Warning! GuruFocus has detected 6 Warning Sign with MSFT..Citing field checks and customer feedback, Wedbush anticipates roughly 70% of Microsoft's installed user base will adopt its AI tools by 2026. The firm believes 2024 and 2025 will serve as test phases, while broader integration will likely take off in 2026..Microsoft stock hit a fresh 52-week high of $494.56 during mid-day trading Wednesday, supported by optimism around its enterprise AI strategy. The company plans to invest $80 billion in capital spending for fiscal year 2025 to strengthen its data center infrastructure..Ives also expects notable adoption in the public, financial, and retail sectors. Microsoft is currently the third-largest holding in the newly launched Dan Ives Wedbush AI Revolution ETF..The firm added Microsoft to its Best Ideas List, underlining confidence in its AI-driven growth trajectory..This article first appeared on GuruFocus.",https://finance.yahoo.com/news/microsoft-gets-600-price-target-134915318.html,"```json
{
  ""Strategic Risk"": 8,
  ""Operational Risk"": 0,
  ""Financial Risk"": 7,
  ""Market Risk"": 9,
  ""Technology Risk"": 8,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 7,
  ""ESG Risk"": 0
}
```"
34,2025-06-26 21:00:00,DeepL named to TIME's list of the 100 Most Influential Companies of 2025,"DeepL, a leading global Language AI company, today announced that it has been named to the fifth-annual TIME100 Most Influential Companies list, highlighting companies making an extraordinary impact around the world. Previous honorees have included global innovators like NVIDIA, Google, Anthropic, Microsoft, TikTok, and OpenAI.","Language AI leader joins ranks of past TIME100 honorees redefining industries, including NVIDIA, Google, Anthropic, Microsoft and OpenAI.NEW YORK, June 26, 2025 /PRNewswire/ -- DeepL, a leading global Language AI company, today announced that it has been named to the fifth-annual TIME100 Most Influential Companies list, highlighting companies making an extraordinary impact around the world. Previous honorees have included global innovators like NVIDIA, Google, Anthropic, Microsoft, TikTok, and OpenAI..To assemble the list, TIME solicited nominations across sectors, and polled its global network of contributors and correspondents, as well as outside experts. Then TIME editors evaluated each on key factors, including impact, innovation, ambition, and success. The result is a diverse group of 105 businesses helping chart an essential path forward..""It's an honor for DeepL to be named to TIME's list of the 100 Most Influential Companies. This is an exciting moment for our team and a meaningful reminder of the impact behind our mission and technology,"" said Jarek Kutylowski, CEO and Founder of DeepL. ""As the world becomes more connected, language plays an even bigger role, but it can also become a greater barrier in global business. At DeepL, we're proud to be building AI that's proven to help people and companies connect, collaborate and grow, across industries and no matter where they are in the world."".As businesses embrace AI, they're looking for solutions that deliver real impact, and DeepL's Language AI platform has become a critical investment for global success by solving one of the most critical, yet often overlooked, barriers to growth: language and communication. According to recent research, nearly 70% of US enterprises face unexpected operational challenges due to language barriers on a daily basis and 61% say these barriers have delayed or limited their global expansion..Trusted by over 200,000 business customers including Softbank, Mazda, Harvard Business Publishing, the Ifo Institute and Panasonic Connect, DeepL is purpose-built to solve these challenges, redefining how companies operate and scale across borders. The DeepL platform offers written and spoken translation, AI-powered writing and editing tools and a robust API, helping teams communicate with clarity, consistency and speed across a range of use cases from customer support and legal documentation to sales, marketing and internal collaboration..This recognition builds on DeepL's strong growth and accelerating industry momentum. DeepL was recently named to Forbes' 2025 AI 50 list for the second year in a row and recognized by Fast Company as one of the Most Innovative Companies of 2025, ranking #5 in the Applied AI category. ZDNET also recently ranked DeepL the #3 most popular AI tools globally, ahead of Perplexity AI, Google Translate, Gemini and Deepseek, further underscoring the growing demand for high-quality language solutions in everyday business communication and global operations.",https://finance.yahoo.com/news/deepl-named-times-list-100-130000651.html,"```json
{
  ""Strategic Risk"": 1,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": 1,
  ""Technology Risk"": 2,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 2,
  ""ESG Risk"": 0
}
```"
35,2025-06-26 21:00:00,"Pramata Launches AI Negotiator, Reducing Time Spent on Contract Tasks by 50%","SAN FRANCISCO, June 26, 2025--Pramata, the leading Enterprise Grade Contract AI Platform, today launched AI Negotiator, a contract AI solution that provides advanced contract analysis, review, comparison and negotiation acceleration tools integrated directly inside Microsoft Word. The contract AI solution arms legal and procurement teams with intelligent document comparisons and historical contract negotiation insights, while providing automated redline suggestions and comprehensive contract hea","Pramata’s AI Negotiator delivers intelligent document comparison capabilities, historical negotiation insights, and automated redline suggestions.SAN FRANCISCO, June 26, 2025--(BUSINESS WIRE)--Pramata, the leading Enterprise Grade Contract AI Platform, today launched AI Negotiator, a contract AI solution that provides advanced contract analysis, review, comparison and negotiation acceleration tools integrated directly inside Microsoft Word. The contract AI solution arms legal and procurement teams with intelligent document comparisons and historical contract negotiation insights, while providing automated redline suggestions and comprehensive contract health checks for in-house counsels..With Pramata’s AI Negotiator, businesses can rapidly accelerate key contract negotiation tasks, reducing the amount of time spent redlining and processing contracts by as much as 50%, without sacrificing accuracy..As legal departments face mounting pressure to handle growing contract volumes, adopting contract AI solutions that can streamline workflows is becoming a top priority. According to the Federal Bar Association’s 2025 Legal Industry Report, 31% of the more than 2,800 legal professionals surveyed said that they personally use generative AI at work. Among the legal professionals who have adopted GenAI tools, the majority report being ""heavily engaged"" with the technology—45% have incorporated it into their daily workflows and 40% say the use it weekly..""Businesses need better contract management tools that go beyond generic document analysis. They need contract AI solutions tailored to their specific needs when it comes to risk tolerance and negotiation standards—especially the teams that are in dire need to improve efficiencies across the organization,"" said Achint Agarwal, Vice President of Product, Pramata. ""Pramata designed AI Negotiator to deliver business-aware capabilities that understand an organization’s specific contract needs."".With this product release, Pramata gives legal teams a frictionless enterprise-grade contract AI solution that allows them to maintain organizational compliance without requiring disruptive workflow altercations..Key Benefits of Pramata’s AI Negotiator.Dramatic Time Savings: Users have reported a 50% reduction in time spent on contract processing tasks..Seamless Integration: AI-powered analysis and automated redlining, based on an organization's standards and playbooks, directly integrated into Microsoft Word..Intelligent Historical Context: With unique access to complete counterparty relationship history, businesses gain smarter negotiation capabilities based on previously negotiated terms.",https://finance.yahoo.com/news/pramata-launches-ai-negotiator-reducing-130000469.html,"```json
{
  ""Strategic Risk"": 2,
  ""Operational Risk"": 3,
  ""Financial Risk"": 0,
  ""Market Risk"": 1,
  ""Technology Risk"": 4,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 0,
  ""ESG Risk"": 0
}
```"
36,2025-06-26 21:00:00,8X8 More Than Doubles Operator Connect Global Offerings; Now Among Top Five Providers,"CAMPBELL, Calif., June 26, 2025--8x8, Inc. (NASDAQ: EGHT) extends Operator Connect coverage to 50 countries, placing it among the top five providers globally","8x8 extends Operator Connect coverage to 50 countries.CAMPBELL, Calif., June 26, 2025--(BUSINESS WIRE)--8x8, Inc. (NASDAQ: EGHT), the industry's most integrated Platform provider for CX that combines Contact Center, Unified Communication, and CPaaS solutions, is now among the top five providers of Operator Connect globally after more than doubling the number of countries available for 8x8 Operator Connect for Microsoft Teams deployment. Additionally, 8x8 is the only Operator Connect provider with a native contact center solution certified to integrate with Teams..8x8 Operator Connect for Microsoft Teams is a purpose-built solution that delivers native Public Switched Telephone Network (PSTN) calling through the Microsoft Operator Connect program. Powered by 8x8’s industry-leading Global Reach™ network, it ensures reliable connectivity, accelerated deployment, and simplified management – enhancing efficiency for Microsoft Teams Phone administrators..8x8 Operator Connect for Microsoft Teams now supports local presence in 50 countries, including the recent additions of Brazil, South Korea, Turkey, South Africa, and the Czech Republic, among the 30 new countries added..""Among companies using Microsoft Teams, only 65.8% have enabled Teams for PSTN calling, signaling a significant opportunity to enhance the platform’s value with integrated voice services,"" said Irwin Lazar, President and Principal Analyst at Metrigy. ""With 8x8 now offering Operator Connect in 50 countries – and as the only UCaaS provider supporting both Operator Connect and Direct Routing – organizations can quickly scale PSTN access globally. Combined with 8x8’s Teams-certified contact center, this creates a powerful foundation for unified communications and customer experience within Teams."".Keys benefits of 8x8 Operator Connect for Microsoft Teams include:.Reliability, Security, and Support - Direct peering through Microsoft Azure meets program architecture, security, and network requirements for reliability together with a streamlined support model and shared Service Level Agreements (SLAs) with Microsoft for Operator Connect services..A Complete Portfolio - Flexible calling plans, and a Teams-certified contact center with free on net calling to meet each organization’s specific telephony and customer engagement requirements..Familiar Teams Phone Experience - The ability to make and receive calls through the Teams app minimizing training requirements and accelerating onboarding..Increased Admin Efficiency - Admins can intuitively provision numbers and manage users from the Microsoft Teams admin center to improve deployment time.",https://finance.yahoo.com/news/8x8-more-doubles-operator-connect-130000832.html,"```json
{
  ""Strategic Risk"": -4,
  ""Operational Risk"": 0,
  ""Financial Risk"": 0,
  ""Market Risk"": -3,
  ""Technology Risk"": -2,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": -1,
  ""ESG Risk"": 0
}
```"
37,2025-06-26 20:53:00,"Microsoft Uniquely Positioned for Next Phase of AI Growth, Morgan Stanley Says",Microsoft's (MSFT) rising capital spending tied to its generative AI investments point to an upside,,https://finance.yahoo.com/news/microsoft-uniquely-positioned-next-phase-125302689.html,"```json
{
  ""Strategic Risk"": 8,
  ""Operational Risk"": 0,
  ""Financial Risk"": 2,
  ""Market Risk"": 7,
  ""Technology Risk"": 9,
  ""Credit Risk"": 0,
  ""Legal Risk"": 0,
  ""Political Risk"": 0,
  ""Reputational Risk"": 6,
  ""ESG Risk"": 0
}
```"
